model,r2,rmse,mae,time_s,fingerprint,split
Gradient Boosting,0.3614517648764392,1.0003962661382284,0.7923648730316778,7.579694747924805,atompairs2d,random
XGBoost,0.4053278,0.9654149515276412,0.7063295245170593,14.436394214630129,atompairs2d,random
SVR (RBF),0.38151562,0.9845540625576872,0.753173291683197,0.4154188632965088,atompairs2d,random
SVR (Linear),0.2582128,1.07823860565045,0.846783459186554,2.586398839950561,atompairs2d,random
k-Nearest Neighbors,0.2739178,1.0667634023571402,0.8054038286209106,0.039142370223999,atompairs2d,random
MLP Regressor,0.3571027,1.003797295146155,0.7526036500930786,15.437863826751707,atompairs2d,random
AdaBoost,0.2042267820544565,1.116785758297402,0.9321357148169644,1.876744270324707,atompairs2d,random
Random Forest,0.43307948,0.942619207113748,0.7015268206596375,60.61298131942749,atompairs2d,random
Lasso Regression,-0.18909442,1.189474572299969,0.9704947471618652,0.2097342014312744,atompairs2d,kennard_stone
ElasticNet,-0.18230414,1.186073500483376,0.9690066576004028,1.0235373973846436,atompairs2d,kennard_stone
Decision Tree,-0.2223214360742376,1.2059789090524422,0.9086320514755652,0.8847482204437256,atompairs2d,kennard_stone
Bayesian Ridge,-0.17358303,1.181690965321036,0.9584134817123412,0.6123871803283691,atompairs2d,kennard_stone
PLS Regression,-0.2073797480812427,1.1985852863536215,0.9755034526886232,0.3786864280700683,atompairs2d,kennard_stone
Ridge Regression,-0.18383944,1.1868433391572644,0.9607750177383424,0.110041856765747,atompairs2d,kennard_stone
Gradient Boosting,-0.0994686266682292,1.1437692572981433,0.9166202090214728,8.626079797744751,atompairs2d,kennard_stone
XGBoost,-0.19635785,1.1931019706761596,0.9036730527877808,14.4321448802948,atompairs2d,kennard_stone
SVR (RBF),-0.20119393,1.1955109475151875,0.9489011764526368,0.3655245304107666,atompairs2d,kennard_stone
SVR (Linear),-0.3153125,1.2510119633426584,1.026656985282898,3.177171468734741,atompairs2d,kennard_stone
k-Nearest Neighbors,-0.19478595,1.1923178765238251,0.940297544002533,0.0384821891784668,atompairs2d,kennard_stone
MLP Regressor,-0.045980573,1.115600739543857,0.8634352684020996,18.755709648132324,atompairs2d,kennard_stone
AdaBoost,-0.3152536258891663,1.2509839922641175,1.0251501155182987,2.5970778465271,atompairs2d,kennard_stone
Random Forest,-0.11461043,1.1516182895018952,0.8886236548423767,62.9313952922821,atompairs2d,kennard_stone
Lasso Regression,0.09286851,1.192368065995141,0.9933293461799622,0.8419010639190674,substructure_count,random
ElasticNet,0.15050894,1.1538639709124083,0.954686999320984,2.1442711353302,substructure_count,random
Decision Tree,0.3148927651554937,1.0362259989287594,0.7547737259885358,0.2335784435272216,substructure_count,random
Bayesian Ridge,0.2313078,1.097618563945196,0.8827366232872009,0.1334123611450195,substructure_count,random
PLS Regression,0.2324597842258681,1.0967957971765268,0.8815482795513419,0.1488838195800781,substructure_count,random
Ridge Regression,0.23191136,1.097187580227068,0.8813201189041138,0.0623822212219238,substructure_count,random
Gradient Boosting,0.3980836797491212,0.9712773632058131,0.7716449715935144,4.361382722854614,substructure_count,random
XGBoost,0.48789948,0.8958861239351971,0.6560104489326477,12.80905055999756,substructure_count,random
SVR (RBF),0.30617672,1.0427967172536623,0.8346233367919922,0.2736649513244629,substructure_count,random
SVR (Linear),0.1783567,1.1347935684624235,0.8956092000007629,21.338335514068604,substructure_count,random
k-Nearest Neighbors,0.39015573,0.9776528641866322,0.7564569115638733,0.0313827991485595,substructure_count,random
